customerid,tenure_group,contract,paymentmethod,monthlycharges,total_revenue,churn_flag,risk_level,value_segment,lifecycle_stage
6195-MELTI,4+ years,One year,Mailed check,54.65,3115.05,0,Low Risk,High Value,Loyal (4y+)
5485-WUYWF,0-1 year,Month-to-month,Bank transfer (automatic),66.4,132.8,1,High Risk,Low Value,New (0-1y)
2121-JAFOM,4+ years,Two year,Credit card (automatic),115.55,8319.6,0,Low Risk,High Value,Loyal (4y+)
8818-DOPVL,2-4 years,Month-to-month,Electronic check,104.45,4804.7,0,Low Risk,High Value,Mature (2-4y)
2632-UCGVD,4+ years,Month-to-month,Credit card (automatic),100.05,6603.3,1,High Risk,High Value,Loyal (4y+)
5445-PZWGX,4+ years,One year,Electronic check,102,6324,1,High Risk,High Value,Loyal (4y+)
1227-UDMZR,4+ years,Two year,Bank transfer (automatic),91.15,6562.8,0,Low Risk,High Value,Loyal (4y+)
5198-HQAEN,2-4 years,One year,Electronic check,89.7,3139.5,0,Low Risk,High Value,Mature (2-4y)
9170-CCKOU,1-2 years,Month-to-month,Credit card (automatic),90.2,1533.4,1,High Risk,Mid Value,Growing (1-2y)
2167-FQSTQ,4+ years,Two year,Electronic check,92.4,6652.8,0,Low Risk,High Value,Loyal (4y+)
2819-GWENI,2-4 years,One year,Mailed check,19.9,557.2,0,Low Risk,Low Value,Mature (2-4y)
1043-YCUTE,4+ years,Two year,Credit card (automatic),25.15,1408.4,1,Medium Risk,Mid Value,Loyal (4y+)
3814-MLAXC,2-4 years,Month-to-month,Credit card (automatic),79.85,2475.35,1,High Risk,Mid Value,Mature (2-4y)
3572-UUHRS,2-4 years,One year,Bank transfer (automatic),18.85,848.25,0,Low Risk,Low Value,Mature (2-4y)
2692-PFYTJ,0-1 year,Month-to-month,Mailed check,25.75,25.75,0,Low Risk,Low Value,New (0-1y)
1226-UDFZR,0-1 year,Month-to-month,Mailed check,49.6,99.2,1,High Risk,Low Value,New (0-1y)
5955-EPOAZ,0-1 year,Month-to-month,Mailed check,20.95,125.7,0,Low Risk,Low Value,New (0-1y)
6821-JPCDC,2-4 years,One year,Electronic check,97.05,4658.4,0,Low Risk,High Value,Mature (2-4y)
8815-LMFLX,2-4 years,Month-to-month,Bank transfer (automatic),25.4,635,0,Low Risk,Low Value,Mature (2-4y)
9135-HSWOC,4+ years,Two year,Bank transfer (automatic),19.7,1260.8,0,Low Risk,Mid Value,Loyal (4y+)
8582-KRHPJ,4+ years,Month-to-month,Mailed check,35,1750,0,Low Risk,Mid Value,Loyal (4y+)
5811-IWXYM,4+ years,One year,Bank transfer (automatic),101.25,5265,0,Low Risk,High Value,Loyal (4y+)
7044-YAACC,0-1 year,Month-to-month,Electronic check,70.2,280.8,0,Low Risk,Low Value,New (0-1y)
8189-XRIKE,2-4 years,Month-to-month,Electronic check,90.95,2910.4,0,Low Risk,Mid Value,Mature (2-4y)
1506-YJTYT,2-4 years,Two year,Credit card (automatic),73.85,3323.25,0,Low Risk,High Value,Mature (2-4y)
4123-DVHPH,0-1 year,Month-to-month,Electronic check,88.05,792.45,0,Low Risk,Low Value,New (0-1y)
6425-YQLLO,4+ years,One year,Credit card (automatic),105.95,6992.7,1,High Risk,High Value,Loyal (4y+)
5442-UTCVD,0-1 year,Month-to-month,Electronic check,91.85,275.55,1,High Risk,Low Value,New (0-1y)
2228-BZDEE,4+ years,Two year,Mailed check,20.1,1085.4,0,Low Risk,Mid Value,Loyal (4y+)
7734-DBOAI,0-1 year,Month-to-month,Electronic check,40.1,40.1,1,High Risk,Low Value,New (0-1y)
2789-CZANW,4+ years,Two year,Bank transfer (automatic),110.3,7059.2,0,Low Risk,High Value,Loyal (4y+)
2091-RFFBA,2-4 years,Month-to-month,Electronic check,73.9,2290.9,1,High Risk,Mid Value,Mature (2-4y)
2114-MGINA,1-2 years,Month-to-month,Mailed check,89.8,1257.2,1,High Risk,Mid Value,Growing (1-2y)
7596-LDUXP,0-1 year,One year,Credit card (automatic),85.15,1021.8,0,Low Risk,Mid Value,New (0-1y)
3740-RLMVT,4+ years,One year,Bank transfer (automatic),60.95,4083.65,0,Low Risk,High Value,Loyal (4y+)
4489-SNOJF,2-4 years,Month-to-month,Electronic check,72.25,2528.75,1,High Risk,Mid Value,Mature (2-4y)
2192-OZITF,2-4 years,Two year,Mailed check,73.55,3309.75,0,Low Risk,High Value,Mature (2-4y)
5651-CPDND,0-1 year,Month-to-month,Mailed check,46,460,0,Low Risk,Low Value,New (0-1y)
2186-QZEYA,2-4 years,Month-to-month,Bank transfer (automatic),58.55,1697.95,0,Low Risk,Mid Value,Mature (2-4y)
1131-ALZWV,1-2 years,One year,Bank transfer (automatic),24.6,590.4,0,Low Risk,Low Value,Growing (1-2y)
7729-XBTWX,4+ years,Two year,Mailed check,19.75,1303.5,0,Low Risk,Mid Value,Loyal (4y+)
9134-WYRVP,4+ years,One year,Mailed check,86.35,4403.85,0,Low Risk,High Value,Loyal (4y+)
3284-SVCRO,2-4 years,Two year,Mailed check,25.5,1147.5,0,Low Risk,Mid Value,Mature (2-4y)
9732-OUYRN,4+ years,One year,Credit card (automatic),19,931,0,Low Risk,Low Value,Loyal (4y+)
0559-CKHUS,2-4 years,Two year,Mailed check,19.55,566.95,0,Low Risk,Low Value,Mature (2-4y)
2931-SVLTV,2-4 years,Month-to-month,Credit card (automatic),110.1,4404,0,Low Risk,High Value,Mature (2-4y)
6899-PPEEA,2-4 years,Month-to-month,Electronic check,96.55,3572.35,1,High Risk,High Value,Mature (2-4y)
7504-UWHNB,2-4 years,Month-to-month,Electronic check,69.75,1743.75,0,Low Risk,Mid Value,Mature (2-4y)
2582-FFFZR,1-2 years,Month-to-month,Electronic check,50.6,1113.2,0,Low Risk,Mid Value,Growing (1-2y)
8908-NMQTX,4+ years,Two year,Bank transfer (automatic),65.6,4723.2,0,Low Risk,High Value,Loyal (4y+)
2187-LZGPL,0-1 year,Month-to-month,Credit card (automatic),40.1,280.7,1,High Risk,Low Value,New (0-1y)
1431-AIDJQ,2-4 years,Two year,Credit card (automatic),82.1,2709.3,0,Low Risk,Mid Value,Mature (2-4y)
6288-LBEAR,1-2 years,Month-to-month,Mailed check,79.1,1819.3,0,Low Risk,Mid Value,Growing (1-2y)
4597-NUCQV,1-2 years,Month-to-month,Electronic check,101.25,2430,1,High Risk,Mid Value,Growing (1-2y)
9019-QVLZD,0-1 year,Month-to-month,Electronic check,79.55,79.55,1,High Risk,Low Value,New (0-1y)
8413-YNHNV,4+ years,Two year,Mailed check,90.65,6254.85,0,Low Risk,High Value,Loyal (4y+)
5808-TOTXO,0-1 year,One year,Credit card (automatic),20.55,61.65,0,Low Risk,Low Value,New (0-1y)
4369-NYSCF,4+ years,One year,Bank transfer (automatic),75.75,4242,0,Low Risk,High Value,Loyal (4y+)
6333-YDVLT,4+ years,One year,Credit card (automatic),110,7150,0,Low Risk,High Value,Loyal (4y+)
5324-KTGCG,4+ years,One year,Electronic check,20.85,1480.35,0,Low Risk,Mid Value,Loyal (4y+)
5599-HVLTW,1-2 years,Month-to-month,Bank transfer (automatic),80.35,1124.9,0,Low Risk,Mid Value,Growing (1-2y)
7394-LWLYN,0-1 year,Month-to-month,Electronic check,70.15,140.3,0,Low Risk,Low Value,New (0-1y)
3707-LRWZD,2-4 years,One year,Electronic check,84.05,2689.6,1,High Risk,Mid Value,Mature (2-4y)
6873-UDNLD,2-4 years,Month-to-month,Electronic check,67.45,2698,0,Low Risk,Mid Value,Mature (2-4y)
2700-LUEVA,0-1 year,Month-to-month,Credit card (automatic),20.75,20.75,0,Low Risk,Low Value,New (0-1y)
1455-ESIQH,0-1 year,Month-to-month,Electronic check,89.1,89.1,1,High Risk,Low Value,New (0-1y)
0958-YHXGP,0-1 year,Month-to-month,Mailed check,69.9,489.3,0,Low Risk,Low Value,New (0-1y)
1101-SSWAG,1-2 years,Month-to-month,Electronic check,51.1,766.5,0,Low Risk,Low Value,Growing (1-2y)
2979-SXESE,1-2 years,Month-to-month,Electronic check,94.4,1604.8,1,High Risk,Mid Value,Growing (1-2y)
4013-TLDHQ,1-2 years,Month-to-month,Electronic check,78.25,1486.75,1,High Risk,Mid Value,Growing (1-2y)
5743-KHMNA,4+ years,Two year,Bank transfer (automatic),25.55,1814.05,0,Low Risk,Mid Value,Loyal (4y+)
4194-FJARJ,4+ years,Two year,Bank transfer (automatic),60,3240,0,Low Risk,High Value,Loyal (4y+)
5325-UWTWJ,2-4 years,Month-to-month,Credit card (automatic),90.55,2807.05,0,Low Risk,Mid Value,Mature (2-4y)
3969-GYXEL,0-1 year,Month-to-month,Electronic check,76.4,840.4,0,Low Risk,Low Value,New (0-1y)
9208-OLGAQ,1-2 years,Month-to-month,Electronic check,84.95,1529.1,0,Low Risk,Mid Value,Growing (1-2y)
3244-CQPHU,4+ years,Two year,Bank transfer (automatic),110.1,7927.2,0,Low Risk,High Value,Loyal (4y+)
2674-MLXMN,4+ years,Month-to-month,Credit card (automatic),99.65,7075.15,0,Low Risk,High Value,Loyal (4y+)
9708-HPXWZ,0-1 year,Month-to-month,Credit card (automatic),45.4,227,0,Low Risk,Low Value,New (0-1y)
6992-TKNYO,2-4 years,One year,Credit card (automatic),69,2622,0,Low Risk,Mid Value,Mature (2-4y)
4468-YDOVK,0-1 year,Month-to-month,Bank transfer (automatic),48.65,243.25,0,Low Risk,Low Value,New (0-1y)
3754-DXMRT,0-1 year,Month-to-month,Electronic check,44.15,88.3,1,High Risk,Low Value,New (0-1y)
5792-JALQC,4+ years,Two year,Bank transfer (automatic),59.85,3112.2,0,Low Risk,High Value,Loyal (4y+)
7130-VTEWQ,0-1 year,Month-to-month,Electronic check,75.75,606,1,High Risk,Low Value,New (0-1y)
2200-DSAAL,4+ years,Two year,Electronic check,80.65,5484.2,0,Low Risk,High Value,Loyal (4y+)
4302-ZYFEL,4+ years,One year,Credit card (automatic),20.55,1417.95,0,Low Risk,Mid Value,Loyal (4y+)
9351-LZYGF,2-4 years,Month-to-month,Credit card (automatic),66.4,2788.8,0,Low Risk,Mid Value,Mature (2-4y)
4366-CTOUZ,4+ years,Two year,Mailed check,100.2,5010,0,Low Risk,High Value,Loyal (4y+)
6121-VZNQB,0-1 year,Month-to-month,Mailed check,19.1,19.1,1,High Risk,Low Value,New (0-1y)
7903-CMPEY,0-1 year,Month-to-month,Electronic check,80.3,80.3,1,High Risk,Low Value,New (0-1y)
1518-OMDIK,2-4 years,Month-to-month,Credit card (automatic),44.55,1470.15,0,Low Risk,Mid Value,Mature (2-4y)
6671-NGWON,0-1 year,Month-to-month,Mailed check,20.35,142.45,0,Low Risk,Low Value,New (0-1y)
0595-ITUDF,4+ years,Month-to-month,Electronic check,91.8,5875.2,0,Low Risk,High Value,Loyal (4y+)
6996-KNSML,0-1 year,Month-to-month,Electronic check,74.9,74.9,1,High Risk,Low Value,New (0-1y)
1955-IBMMB,4+ years,Two year,Bank transfer (automatic),20.2,1191.8,0,Low Risk,Mid Value,Loyal (4y+)
0096-BXERS,0-1 year,Month-to-month,Electronic check,50.35,302.1,0,Low Risk,Low Value,New (0-1y)
3806-YAZOV,0-1 year,Month-to-month,Mailed check,18.8,56.4,0,Low Risk,Low Value,New (0-1y)
7998-ZLXWN,1-2 years,Month-to-month,Credit card (automatic),20.45,306.75,0,Low Risk,Low Value,Growing (1-2y)
6253-WRFHY,1-2 years,One year,Electronic check,64.75,841.75,0,Low Risk,Low Value,Growing (1-2y)
9133-AYJZG,1-2 years,Month-to-month,Credit card (automatic),98.7,2270.1,0,Low Risk,Mid Value,Growing (1-2y)
2675-OTVVJ,2-4 years,Month-to-month,Electronic check,89.45,2772.95,0,Low Risk,Mid Value,Mature (2-4y)
8680-CGLTP,2-4 years,One year,Electronic check,58.75,1703.75,0,Low Risk,Mid Value,Mature (2-4y)
8430-TWCBX,4+ years,One year,Credit card (automatic),20.7,1014.3,0,Low Risk,Mid Value,Loyal (4y+)
5018-GWURO,4+ years,Month-to-month,Bank transfer (automatic),85.6,4793.6,0,Low Risk,High Value,Loyal (4y+)
6741-QRLUP,4+ years,Two year,Credit card (automatic),80.3,5058.9,0,Low Risk,High Value,Loyal (4y+)
4737-HOBAX,4+ years,Two year,Credit card (automatic),79.8,5027.4,0,Low Risk,High Value,Loyal (4y+)
0537-QYZZN,1-2 years,Month-to-month,Electronic check,79.85,1916.4,0,Low Risk,Mid Value,Growing (1-2y)
3340-QBBFM,2-4 years,One year,Credit card (automatic),54.1,1947.6,0,Low Risk,Mid Value,Mature (2-4y)
1704-NRWYE,0-1 year,Month-to-month,Electronic check,80.85,727.65,1,High Risk,Low Value,New (0-1y)
2592-SEIFQ,0-1 year,Month-to-month,Electronic check,24.75,74.25,1,High Risk,Low Value,New (0-1y)
8200-KLNYW,1-2 years,One year,Mailed check,80.9,1698.9,0,Low Risk,Mid Value,Growing (1-2y)
3372-CDXFJ,1-2 years,One year,Bank transfer (automatic),24.5,318.5,0,Low Risk,Low Value,Growing (1-2y)
4781-ZXYGU,0-1 year,Month-to-month,Bank transfer (automatic),20.15,20.15,0,Low Risk,Low Value,New (0-1y)
7632-YUTXB,2-4 years,One year,Mailed check,20.05,501.25,0,Low Risk,Low Value,Mature (2-4y)
2718-YSKCS,4+ years,Two year,Bank transfer (automatic),19.6,1391.6,0,Low Risk,Mid Value,Loyal (4y+)
9896-UYMIE,4+ years,One year,Bank transfer (automatic),114.3,7543.8,0,Low Risk,High Value,Loyal (4y+)
0853-NWIFK,2-4 years,One year,Electronic check,100.3,4513.5,0,Low Risk,High Value,Mature (2-4y)
8212-CRQXP,1-2 years,Month-to-month,Credit card (automatic),80,1760,0,Low Risk,Mid Value,Growing (1-2y)
6980-CDGFC,4+ years,One year,Bank transfer (automatic),20.85,1396.95,0,Low Risk,Mid Value,Loyal (4y+)
7691-XVTZH,4+ years,Two year,Bank transfer (automatic),89.95,6116.6,0,Low Risk,High Value,Loyal (4y+)
2520-SGTTA,NULL,Two year,Mailed check,20,0,0,Low Risk,Low Value,New (0-1y)
7481-ATQQS,4+ years,Month-to-month,Credit card (automatic),90.85,4451.65,1,High Risk,High Value,Loyal (4y+)
2277-VWCNI,0-1 year,Month-to-month,Mailed check,48.75,195,0,Low Risk,Low Value,New (0-1y)
1088-CNNKB,4+ years,One year,Credit card (automatic),80,5040,0,Low Risk,High Value,Loyal (4y+)
8642-GVWRF,0-1 year,Month-to-month,Bank transfer (automatic),79.7,159.4,1,High Risk,Low Value,New (0-1y)
1930-BZLHI,1-2 years,One year,Mailed check,20.35,427.35,0,Low Risk,Low Value,Growing (1-2y)
3400-ESFUW,4+ years,Two year,Bank transfer (automatic),57.55,3165.25,1,Medium Risk,High Value,Loyal (4y+)
5868-YTYKS,0-1 year,Month-to-month,Mailed check,20.25,20.25,0,Low Risk,Low Value,New (0-1y)
3525-DVKFN,1-2 years,Two year,Mailed check,19.4,329.8,0,Low Risk,Low Value,Growing (1-2y)
1482-OXZSY,2-4 years,Month-to-month,Bank transfer (automatic),100.4,3012,0,Low Risk,High Value,Mature (2-4y)
0377-JBKKT,1-2 years,Month-to-month,Mailed check,57.95,1274.9,0,Low Risk,Mid Value,Growing (1-2y)
5778-BVOFB,0-1 year,Month-to-month,Bank transfer (automatic),59.5,535.5,0,Low Risk,Low Value,New (0-1y)
3373-YZZYM,0-1 year,Month-to-month,Mailed check,19.2,19.2,0,Low Risk,Low Value,New (0-1y)
2057-ZBLPD,1-2 years,Month-to-month,Electronic check,86.5,1816.5,1,High Risk,Mid Value,Growing (1-2y)
0228-MAUWC,1-2 years,Month-to-month,Electronic check,59.55,1131.45,0,Low Risk,Mid Value,Growing (1-2y)
5502-RLUYV,4+ years,Month-to-month,Electronic check,103.95,7172.55,1,High Risk,High Value,Loyal (4y+)
0023-HGHWL,0-1 year,Month-to-month,Electronic check,25.1,25.1,1,High Risk,Low Value,New (0-1y)
7663-YJHSN,4+ years,Two year,Bank transfer (automatic),103.95,7484.4,0,Low Risk,High Value,Loyal (4y+)
4915-BFSXL,4+ years,Two year,Credit card (automatic),68.95,4826.5,0,Low Risk,High Value,Loyal (4y+)
3086-RUCRN,4+ years,Month-to-month,Bank transfer (automatic),103.1,6804.6,0,Low Risk,High Value,Loyal (4y+)
5215-LNLDJ,0-1 year,Month-to-month,Electronic check,24.7,172.9,0,Low Risk,Low Value,New (0-1y)
7576-JMYWV,2-4 years,Month-to-month,Electronic check,110.2,5069.2,0,Low Risk,High Value,Mature (2-4y)
9039-RBEEE,2-4 years,Month-to-month,Credit card (automatic),48.95,1909.05,1,High Risk,Mid Value,Mature (2-4y)
0257-KXZGU,2-4 years,Month-to-month,Bank transfer (automatic),62.45,1998.4,0,Low Risk,Mid Value,Mature (2-4y)
1307-ATKGB,1-2 years,Month-to-month,Electronic check,89.55,2149.2,0,Low Risk,Mid Value,Growing (1-2y)
8417-FMLZI,0-1 year,Month-to-month,Credit card (automatic),83.55,501.3,1,High Risk,Low Value,New (0-1y)
3714-XPXBW,2-4 years,Month-to-month,Credit card (automatic),78.9,2919.3,0,Low Risk,Mid Value,Mature (2-4y)
1850-AKQEP,0-1 year,Month-to-month,Mailed check,20.35,162.8,0,Low Risk,Low Value,New (0-1y)
2824-DXNKN,4+ years,Two year,Bank transfer (automatic),71.45,5144.4,0,Low Risk,High Value,Loyal (4y+)
5227-JSCFE,4+ years,Two year,Credit card (automatic),46.35,3290.85,0,Low Risk,High Value,Loyal (4y+)
0848-ZGQIJ,1-2 years,Month-to-month,Bank transfer (automatic),94.65,1514.4,0,Low Risk,Mid Value,Growing (1-2y)
3621-CHYVB,4+ years,Month-to-month,Bank transfer (automatic),49.9,2844.3,0,Low Risk,Mid Value,Loyal (4y+)
8042-RNLKO,4+ years,One year,Bank transfer (automatic),25.45,1679.7,0,Low Risk,Mid Value,Loyal (4y+)
1792-UXAFY,1-2 years,Month-to-month,Electronic check,89.15,1515.55,1,High Risk,Mid Value,Growing (1-2y)
5372-FBKBN,1-2 years,Month-to-month,Mailed check,20.75,435.75,0,Low Risk,Low Value,Growing (1-2y)
0420-TXVSG,4+ years,Two year,Credit card (automatic),66.1,4362.6,0,Low Risk,High Value,Loyal (4y+)
6217-TOWGS,1-2 years,Month-to-month,Bank transfer (automatic),75.4,1281.8,0,Low Risk,Mid Value,Growing (1-2y)
0515-YPMCW,0-1 year,Month-to-month,Mailed check,70.45,70.45,1,High Risk,Low Value,New (0-1y)
0378-XSZPU,4+ years,One year,Credit card (automatic),60.3,3497.4,1,Medium Risk,High Value,Loyal (4y+)
1045-LTCYT,0-1 year,Month-to-month,Credit card (automatic),21.05,168.4,0,Low Risk,Low Value,New (0-1y)
1544-JJMYL,2-4 years,One year,Credit card (automatic),69.35,1872.45,0,Low Risk,Mid Value,Mature (2-4y)
4636-JGAAI,2-4 years,Month-to-month,Mailed check,88.85,3020.9,0,Low Risk,High Value,Mature (2-4y)
6874-SGLHU,2-4 years,One year,Bank transfer (automatic),97,2910,0,Low Risk,Mid Value,Mature (2-4y)
5951-AOFIH,2-4 years,Month-to-month,Credit card (automatic),66.4,2191.2,0,Low Risk,Mid Value,Mature (2-4y)
4729-XKASR,0-1 year,Month-to-month,Electronic check,24.75,24.75,1,High Risk,Low Value,New (0-1y)
3059-NGMXB,1-2 years,Month-to-month,Mailed check,69.2,968.8,0,Low Risk,Low Value,Growing (1-2y)
8652-YHIYU,1-2 years,One year,Credit card (automatic),79.5,1272,0,Low Risk,Mid Value,Growing (1-2y)
5278-PNYOX,4+ years,Two year,Credit card (automatic),100.65,4931.85,0,Low Risk,High Value,Loyal (4y+)
5449-FIBXJ,1-2 years,Month-to-month,Electronic check,103.3,1962.7,1,High Risk,Mid Value,Growing (1-2y)
3486-HOOGQ,4+ years,Two year,Bank transfer (automatic),79.7,5579,0,Low Risk,High Value,Loyal (4y+)
5061-PBXFW,2-4 years,Month-to-month,Bank transfer (automatic),61.4,1964.8,0,Low Risk,Mid Value,Mature (2-4y)
8630-FJLIB,1-2 years,Month-to-month,Electronic check,69.8,1256.4,0,Low Risk,Mid Value,Growing (1-2y)
3891-NLXJB,2-4 years,Two year,Mailed check,40.55,1500.35,0,Low Risk,Mid Value,Mature (2-4y)
4749-OJKQU,0-1 year,Month-to-month,Electronic check,75.65,302.6,0,Low Risk,Low Value,New (0-1y)
0577-WHMEV,1-2 years,Month-to-month,Electronic check,90.7,1451.2,0,Low Risk,Mid Value,Growing (1-2y)
5453-AXEPF,1-2 years,Month-to-month,Bank transfer (automatic),80.5,1368.5,0,Low Risk,Mid Value,Growing (1-2y)
3639-XJHKQ,1-2 years,Month-to-month,Electronic check,60.6,1151.4,0,Low Risk,Mid Value,Growing (1-2y)
3716-LRGXK,4+ years,Two year,Credit card (automatic),101.15,6069,0,Low Risk,High Value,Loyal (4y+)
2263-SFSQZ,4+ years,Two year,Mailed check,24.95,1272.45,0,Low Risk,Mid Value,Loyal (4y+)
9950-MTGYX,2-4 years,Two year,Credit card (automatic),20.3,568.4,0,Low Risk,Low Value,Mature (2-4y)
3397-AVTKU,2-4 years,Two year,Electronic check,60,2580,0,Low Risk,Mid Value,Mature (2-4y)
4825-FUREZ,2-4 years,Two year,Electronic check,20.25,850.5,0,Low Risk,Low Value,Mature (2-4y)
9837-BMCLM,0-1 year,Month-to-month,Electronic check,78.5,235.5,1,High Risk,Low Value,New (0-1y)
2672-OJQZP,0-1 year,Month-to-month,Mailed check,44.75,44.75,0,Low Risk,Low Value,New (0-1y)
0137-UDEUO,0-1 year,Month-to-month,Mailed check,19.85,59.55,1,High Risk,Low Value,New (0-1y)
3134-DSHVC,4+ years,Two year,Credit card (automatic),98,6174,0,Low Risk,High Value,Loyal (4y+)
6161-UUUTA,0-1 year,Month-to-month,Electronic check,79.9,239.7,1,High Risk,Low Value,New (0-1y)
7821-DPRQE,4+ years,Month-to-month,Electronic check,107.7,7323.6,0,Low Risk,High Value,Loyal (4y+)
6543-XRMYR,2-4 years,Month-to-month,Electronic check,99.7,2991,1,High Risk,Mid Value,Mature (2-4y)
2001-EWBQU,4+ years,Two year,Electronic check,104.7,6282,0,Low Risk,High Value,Loyal (4y+)
4925-LMHOK,1-2 years,Month-to-month,Credit card (automatic),58.6,879,1,High Risk,Low Value,Growing (1-2y)
1608-GMEWB,2-4 years,Month-to-month,Bank transfer (automatic),93.9,4225.5,0,Low Risk,High Value,Mature (2-4y)
6695-AMZUF,4+ years,Two year,Credit card (automatic),86.45,6051.5,0,Low Risk,High Value,Loyal (4y+)
1455-UGQVH,0-1 year,Month-to-month,Electronic check,98.5,985,1,High Risk,Low Value,New (0-1y)
8410-BGQXN,0-1 year,Month-to-month,Mailed check,19.4,77.6,0,Low Risk,Low Value,New (0-1y)
8280-MQRQN,0-1 year,Month-to-month,Mailed check,50.45,50.45,1,High Risk,Low Value,New (0-1y)
1619-YWUBB,4+ years,Two year,Credit card (automatic),24.95,1696.6,0,Low Risk,Mid Value,Loyal (4y+)
7611-YKYTC,1-2 years,Month-to-month,Bank transfer (automatic),75,1650,0,Low Risk,Mid Value,Growing (1-2y)
2037-SGXHH,2-4 years,Month-to-month,Electronic check,94.65,3596.7,1,High Risk,High Value,Mature (2-4y)
3178-FESZO,0-1 year,Month-to-month,Credit card (automatic),100.25,100.25,1,High Risk,Low Value,New (0-1y)
0365-GXEZS,1-2 years,Month-to-month,Electronic check,78.2,1407.6,0,Low Risk,Mid Value,Growing (1-2y)
0082-OQIQY,2-4 years,Month-to-month,Electronic check,94.2,2731.8,0,Low Risk,Mid Value,Mature (2-4y)
6087-MVHJH,1-2 years,Month-to-month,Electronic check,88.45,1415.2,1,High Risk,Mid Value,Growing (1-2y)
4603-JANFB,0-1 year,Month-to-month,Electronic check,69.85,69.85,1,High Risk,Low Value,New (0-1y)
3018-TFTSU,0-1 year,Month-to-month,Bank transfer (automatic),81.7,980.4,1,High Risk,Low Value,New (0-1y)
3606-SBKRY,2-4 years,One year,Electronic check,50.05,1551.55,0,Low Risk,Mid Value,Mature (2-4y)
4806-KEXQR,0-1 year,Month-to-month,Electronic check,79.9,319.6,1,High Risk,Low Value,New (0-1y)
0667-NSRGI,2-4 years,One year,Mailed check,69.55,3338.4,0,Low Risk,High Value,Mature (2-4y)
7083-YNSKY,1-2 years,Month-to-month,Credit card (automatic),25.4,381,1,High Risk,Low Value,Growing (1-2y)
6893-ODYYE,4+ years,One year,Credit card (automatic),90.1,4505,0,Low Risk,High Value,Loyal (4y+)
8242-JSVBO,0-1 year,Month-to-month,Bank transfer (automatic),44.65,312.55,0,Low Risk,Low Value,New (0-1y)
2479-BRAMR,2-4 years,Month-to-month,Bank transfer (automatic),83.75,3433.75,1,High Risk,High Value,Mature (2-4y)
9541-ZPSEA,4+ years,Two year,Credit card (automatic),80.35,5463.8,0,Low Risk,High Value,Loyal (4y+)
2665-NPTGL,2-4 years,Month-to-month,Bank transfer (automatic),98.1,2550.6,0,Low Risk,Mid Value,Mature (2-4y)
1139-WUOAH,4+ years,Two year,Credit card (automatic),53.35,3040.95,0,Low Risk,High Value,Loyal (4y+)
4693-VWVBO,0-1 year,Month-to-month,Electronic check,19.55,58.65,0,Low Risk,Low Value,New (0-1y)
7434-SHXLS,0-1 year,Month-to-month,Mailed check,20.9,20.9,1,High Risk,Low Value,New (0-1y)
6937-GCDGQ,1-2 years,One year,Bank transfer (automatic),48.95,930.05,0,Low Risk,Low Value,Growing (1-2y)
0988-JRWWP,0-1 year,Month-to-month,Electronic check,54.2,162.6,0,Low Risk,Low Value,New (0-1y)
5075-JSDKI,4+ years,Two year,Electronic check,24.45,1442.55,0,Low Risk,Mid Value,Loyal (4y+)
7908-QCBCA,0-1 year,Month-to-month,Mailed check,69.4,69.4,1,High Risk,Low Value,New (0-1y)
8644-XYTSV,2-4 years,Month-to-month,Bank transfer (automatic),40.15,1686.3,0,Low Risk,Mid Value,Mature (2-4y)
6711-FLDFB,0-1 year,Month-to-month,Electronic check,74.9,524.3,1,High Risk,Low Value,New (0-1y)
3873-WOSBC,4+ years,Two year,Credit card (automatic),25.6,1715.2,0,Low Risk,Mid Value,Loyal (4y+)
7465-ZZRVX,0-1 year,Month-to-month,Electronic check,70.35,70.35,0,Low Risk,Low Value,New (0-1y)
7975-JMZNT,4+ years,Two year,Bank transfer (automatic),91.7,6052.2,0,Low Risk,High Value,Loyal (4y+)
7251-XFOIL,4+ years,Month-to-month,Mailed check,89.2,5441.2,0,Low Risk,High Value,Loyal (4y+)
4116-IQRFR,0-1 year,One year,Credit card (automatic),24.1,96.4,0,Low Risk,Low Value,New (0-1y)
3714-JTVOV,2-4 years,Month-to-month,Credit card (automatic),74.15,3114.3,1,High Risk,High Value,Mature (2-4y)
8259-DZLIZ,4+ years,One year,Bank transfer (automatic),53.85,3446.4,0,Low Risk,High Value,Loyal (4y+)
0442-ZXKVS,4+ years,One year,Bank transfer (automatic),115.6,6242.4,0,Low Risk,High Value,Loyal (4y+)
7853-WNZSY,0-1 year,Month-to-month,Credit card (automatic),19.75,19.75,0,Low Risk,Low Value,New (0-1y)
3120-FAZKD,4+ years,Two year,Bank transfer (automatic),24.05,1298.7,0,Low Risk,Mid Value,Loyal (4y+)
8606-OEGQZ,1-2 years,Two year,Credit card (automatic),25.3,455.4,0,Low Risk,Low Value,Growing (1-2y)
0225-ZORZP,0-1 year,Month-to-month,Electronic check,84.3,252.9,0,Low Risk,Low Value,New (0-1y)
4702-IOQDC,0-1 year,Month-to-month,Electronic check,70.1,70.1,1,High Risk,Low Value,New (0-1y)
9489-JMTTN,4+ years,Two year,Credit card (automatic),89.75,6462,0,Low Risk,High Value,Loyal (4y+)
0575-CUQOV,4+ years,One year,Electronic check,97.95,5877,0,Low Risk,High Value,Loyal (4y+)
